id musicians attendees
1 1059 1000
2 635 1000
3 190 1000
4 360 1000
5 700 1000
6 205 1000
7 551 1000
8 124 5000
9 56 1000
10 94 1000
11 149 1000
12 32 5000
13 52 1000
14 34 1000
15 56 1000
16 13 1000
17 56 5000
18 711 5000
19 326 5000
20 1013 500
21 129 1000
22 16 400
23 10 500
24 15 500
25 25 1500
26 15 1500
27 20 1000
28 13 1000
29 68 1000
30 70 1000
31 792 1000
32 1365 1000
33 1484 500
34 895 500
35 567 500
36 95 500
37 201 500
38 243 1000
39 46 1000
40 10 1000
41 10 400
42 5 100
43 5 100
44 10 400
45 10 400
46 14 300
47 38 200
48 40 200
49 19 300
50 34 300
51 2 400
52 34 400
53 42 400
54 26 400
55 3 300
56 161 400
57 172 400
58 386 400
59 128 700
60 88 400
61 844 400
62 624 400
63 777 700
64 633 700
65 105 700
66 526 700
67 468 700
68 679 700
69 330 700
70 587 700
71 335 700
72 576 700
73 436 700
74 471 700
75 262 700
76 373 700
77 325 700
78 261 700
79 895 400
80 144 700
81 279 700
82 88 700
83 179 700
84 206 700
85 61 400
86 504 400
87 301 400
88 336 400
89 123 400
90 682 400
