id score
1 16450386293.197886
2 16297399084.907948
3 1068215492.2421252
4 483424590.90710026
5 883834498.686953
6 1927857115.7992415
7 1084939527.8875556
8 18826779268.4843
9 1019596512.5981908
10 389962849.9280602
11 2903409192.8244534
12 9850314596.879026
13 873100880.8756925
14 26835841.300549466
15 673097621.3879293
16 52932156.371506914
17 5874322.143098256
18 27676908.223361034
19 194206.77711740736
20 1953425.0787250607
21 114641.53471007163
22 484863393.19993687
23 336817583.11442095
24 567404210.7454896
25 2299502504.433917
26 1302513123.113807
27 1149521713.2507617
28 1242581004.4770505
29 2950775971.6301975
30 4577465131.678418
31 1873853654.6974025
32 1747041138.3036025
33 297306569.46155953
34 545268546.1837087
35 657694994.471984
36 479471381.7039152
37 1320988440.987049
38 121983691.70050955
39 317797752.7305248
40 325576749.8120516
41 164222296.1992978
42 69770740.01226418
43 16109382.709142886
44 414818626.3405601
45 190548463.06841877
46 48236124.71599777
47 18663034.683604438
48 150393370.6340156
49 53067848.654444575
50 120763096.19844072
51 42143748.61760451
52 80662961.09044564
53 236143456.090648
54 36802392.75411366
55 8773034.102501582
56 1139564427.4061055
57 1578498104.9847014
58 644786142.2026583
59 446035816.3266402
60 53168945.635162905
61 911664800.6091934
62 661282870.0485817
63 1906242031.0487747
64 1701978032.4501889
65 842630887.3242762
66 1085085033.2920825
67 3480518477.2128334
68 2914929176.6371913
69 2969628169.2293715
70 472152710.807136
71 2450087953.748271
72 1679561072.0399067
73 524147568.1258257
74 1136986794.6329057
75 148610725.44567654
76 990178622.8785982
77 873225533.4370004
78 1341425026.5329113
79 604117034.9529364
80 1486656229.957266
81 377982931.85266805
82 267901523.32165465
83 640578800.5172852
84 883925117.8875113
85 655971909.2326349
86 399581353.650319
87 269151135.28240186
88 1458036451.5009918
89 308431192.8650022
90 1380957707.521227
